id,name,team,25-Aug-25
110,Michael Kayode,Brentford,
111,Ethan Pinnock,Brentford,
112,Mads Roerslev Rasmussen,Brentford,
113,Sepp van den Berg,Brentford,
114,Benjamin Arthur,Brentford,
115,Benjamin Fredrick,Brentford,
116,Aaron Hickey,Brentford,
117,Kim Ji-soo,Brentford,
118,Jayden Meghoma,Brentford,
119,Bryan Mbeumo,Brentford,
120,Kevin Schade,Brentford,
121,Mikkel Damsgaard,Brentford,
122,Antoni Milambo,Brentford,
123,Fábio Freitas Gouveia Carvalho,Brentford,
124,Jordan Henderson,Brentford,
125,Vitaly Janelt,Brentford,
126,Mathias Jensen,Brentford,
127,Gustavo Nunes Fernandes Gomes,Brentford,
128,Frank Onyeka,Brentford,
129,Yehor Yarmoliuk,Brentford,
130,Romelle Donovan,Brentford,
131,Yunus Emre Konak,Brentford,
132,Paris Maghoma,Brentford,
133,Myles Peart-Harris,Brentford,
134,Ryan Trevitt,Brentford,
135,Yoane Wissa,Brentford,
136,Igor Thiago Nascimento Rodrigues,Brentford,
137,Iwan Morgan,Brentford,
138,Jason Steele,Brighton,
139,Bart Verbruggen,Brighton,
140,Tom McGill,Brighton,
141,Carl Rushworth,Brighton,
142,Kjell Scherpen,Brighton,
143,Olivier Boscagli,Brighton,
144,Diego Coppola,Brighton,
145,Maxim De Cuyper,Brighton,
146,Lewis Dunk,Brighton,
147,Pervis Estupiñán Tenorio,Brighton,
148,Ferdi Kadıoğlu,Brighton,
149,Igor Julio dos Santos de Paulo,Brighton,
150,Tariq Lamptey,Brighton,
151,Jan Paul van Hecke,Brighton,
152,Joël Veltman,Brighton,
153,Adam Webster,Brighton,
154,Eiran Cashin,Brighton,
155,Jacob Slater,Brighton,
156,Charlie Tasker,Brighton,
157,Mitoma Kaoru,Brighton,
158,Georginio Rutter,Brighton,
159,Solly March,Brighton,
160,Yankuba Minteh,Brighton,
161,Julio Enciso Espínola,Brighton,
162,Brajan Gruda,Brighton,
163,Jack Hinshelwood,Brighton,
164,Matt O'Riley,Brighton,
165,Abdallah Sima,Brighton,
166,Yasin Ayari,Brighton,
167,Carlos Baleba,Brighton,
168,Facundo Buonanotte,Brighton,
169,Diego Gómez Amarilla,Brighton,
170,James Milner,Brighton,
171,Jeremy Sarmiento Morante,Brighton,
172,Tom Watson,Brighton,
173,Mats Wieffer,Brighton,
174,Malick Yalcouyé,Brighton,
175,Joe Knight,Brighton,
176,Adrian Mazilu,Brighton,
177,Andrew Moran,Brighton,
178,Danny Welbeck,Brighton,
179,Evan Ferguson,Brighton,
180,Stefanos Tzimas,Brighton,
181,Charalampos Kostoulas,Brighton,
220,Robert Lynch Sánchez,Chelsea,
221,Filip Jörgensen,Chelsea,
222,Mike Penders,Chelsea,
223,Gabriel Słonina,Chelsea,
224,Marc Cucurella Saseta,Chelsea,
225,Reece James,Chelsea,
226,Trevoh Chalobah,Chelsea,
227,Levi Samuels Colwill,Chelsea,
228,Malo Gusto,Chelsea,
229,Benoît Badiashile Mukinayi,Chelsea,
230,Wesley Fofana,Chelsea,
231,Mamadou Sarr,Chelsea,
232,Tosin Adarabioyo,Chelsea,
233,Josh Acheampong,Chelsea,
234,Aarón Anselmino,Chelsea,
235,Cole Palmer,Chelsea,
236,Pedro Lomba Neto,Chelsea,
237,Enzo Fernández,Chelsea,
238,Estêvão Almeida de Oliveira Gonçalves,Chelsea,
239,Jamie Bynoe-Gittens,Chelsea,
240,Christopher Nkunku,Chelsea,
241,Moisés Caicedo Corozo,Chelsea,
242,Kiernan Dewsbury-Hall,Chelsea,
243,Tyrique George,Chelsea,
244,Roméo Lavia,Chelsea,
245,Mykhailo Mudryk,Chelsea,
246,Andrey Nascimento dos Santos,Chelsea,
247,Dário Luís Essugo,Chelsea,
248,Kendry Páez Andrade,Chelsea,
249,João Pedro Junqueira de Jesus,Chelsea,
250,Liam Delap,Chelsea,
251,Nicolas Jackson,Chelsea,
252,Marc Guiu Paz,Chelsea,
253,Dean Henderson,Crystal Palace,
254,Walter Benítez,Crystal Palace,
255,Remi Matthews,Crystal Palace,
256,Daniel Muñoz Mejía,Crystal Palace,
257,Maxence Lacroix,Crystal Palace,
258,Tyrick Mitchell,Crystal Palace,
259,Borna Sosa,Crystal Palace,
260,Marc Guéhi,Crystal Palace,
261,Chris Richards,Crystal Palace,
262,Chadi Riad Dnanou,Crystal Palace,
263,Nathaniel Clyne,Crystal Palace,
264,Rob Holding,Crystal Palace,
265,Caleb Kporha,Crystal Palace,
266,Eberechi Eze,Crystal Palace,
267,Ismaïla Sarr,Crystal Palace,
268,Cheick Doucouré,Crystal Palace,
269,Romain Esse,Crystal Palace,
270,Will Hughes,Crystal Palace,
271,Daichi Kamada,Crystal Palace,
272,Jefferson Lerma Solís,Crystal Palace,
273,Adam Wharton,Crystal Palace,
274,Asher Agbinone,Crystal Palace,
275,Naouirou Ahamada,Crystal Palace,
276,Justin Devenny,Crystal Palace,
277,Malcolm Ebiowei,Crystal Palace,
278,Jesurun Rak-Sakyi,Crystal Palace,
279,Matheus França de Oliveira,Crystal Palace,
280,David Ozoh,Crystal Palace,
281,Kaden Rodney,Crystal Palace,
282,Franco Umeh-Chibueze,Crystal Palace,
283,Jean-Philippe Mateta,Crystal Palace,
284,Eddie Nketiah,Crystal Palace,
285,Odsonne Édouard,Crystal Palace,
286,Zach Marsh,Crystal Palace,
287,Jordan Pickford,Everton,
288,Mark Travers,Everton,
289,Harry Tyrer,Everton,
290,Jarrad Branthwaite,Everton,
291,James Tarkowski,Everton,
292,Vitalii Mykolenko,Everton,
293,Jake O'Brien,Everton,
294,Séamus Coleman,Everton,
295,Michael Keane,Everton,
296,Nathan Patterson,Everton,
297,Roman Dixon,Everton,
298,Reece Welch,Everton,
299,Iliman Ndiaye,Everton,
300,Dwight McNeil,Everton,
301,Carlos Alcaraz Durán,Everton,
302,Idrissa Gana Gueye,Everton,
303,James Garner,Everton,
304,Tim Iroegbunam,Everton,
305,Harrison Armstrong,Everton,
306,Callum Bates,Everton,
307,Coby Ebere,Everton,
308,Isaac Heath,Everton,
309,Jenson Metcalfe,Everton,
310,Thierno Barry,Everton,
311,Norberto Bercique Gomes Betuncal,Everton,
312,Youssef Ramalho Chermiti,Everton,
313,Martin Sherif,Everton,
314,Bernd Leno,Fulham,
315,Steven Benda,Fulham,
316,Antonee Robinson,Fulham,
317,Joachim Andersen,Fulham,
318,Calvin Bassey,Fulham,
319,Timothy Castagne,Fulham,
320,Issa Diop,Fulham,
321,Jorge Cuenca Barreno,Fulham,
322,Kenny Tete,Fulham,
323,Samuel Amissah,Fulham,
324,Alex Iwobi,Fulham,
325,Emile Smith Rowe,Fulham,
326,Adama Traoré Diarra,Fulham,
327,Andreas Hoelgebaum Pereira,Fulham,
328,Ryan Sessegnon,Fulham,
329,Harry Wilson,Fulham,
330,Sander Berge,Fulham,
331,Tom Cairney,Fulham,
332,Saša Lukić,Fulham,
333,Martial Godo,Fulham,
334,Luke Harris,Fulham,
335,Josh King,Fulham,
336,Harrison Reed,Fulham,
337,Raúl Jiménez Rodríguez,Fulham,
338,Rodrigo Muniz Carvalho,Fulham,
339,Illan Meslier,Leeds,
340,Alex Cairns,Leeds,
341,Karl Darlow,Leeds,
342,Jayden Bogle,Leeds,
343,Pascal Struijk,Leeds,
344,Jaka Bijol,Leeds,
345,Sebastiaan Bornauw,Leeds,
346,Sam Byram,Leeds,
347,Gabriel Gudmundsson,Leeds,
348,Joe Rodon,Leeds,
349,Isaac Schmidt,Leeds,
350,Brenden Aaronson,Leeds,
351,Wilfried Gnonto,Leeds,
352,Jack Harrison,Leeds,
353,Daniel James,Leeds,
354,Ethan Ampadu,Leeds,
355,Sam Greenwood,Leeds,
356,Ilia Gruev,Leeds,
357,Largie Ramazani,Leeds,
358,Tanaka Ao,Leeds,
359,Charlie Crew,Leeds,
360,Joe Gelhardt,Leeds,
361,Darko Gyabi,Leeds,
362,Joël Piroe,Leeds,
363,Patrick Bamford,Leeds,
364,Mateo Joseph Fernández-Regatillo,Leeds,
365,Lukas Nmecha,Leeds,
366,Alisson Becker,Liverpool,
367,Giorgi Mamardashvili,Liverpool,
368,Ármin Pécsi,Liverpool,
369,Freddie Woodman,Liverpool,
370,Jeremie Frimpong,Liverpool,
371,Milos Kerkez,Liverpool,
372,Andrew Robertson,Liverpool,
373,Virgil van Dijk,Liverpool,
374,Ibrahima Konaté,Liverpool,
375,Conor Bradley,Liverpool,
376,Joe Gomez,Liverpool,
377,Konstantinos Tsimikas,Liverpool,
378,Amara Nallo,Liverpool,
379,Rhys Williams,Liverpool,
380,Calvin Ramsay,Liverpool,
381,Mohamed Salah,Liverpool,
382,Florian Wirtz,Liverpool,
383,Luis Díaz Marulanda,Liverpool,
384,Cody Gakpo,Liverpool,
385,Federico Chiesa,Liverpool,
386,Alexis Mac Allister,Liverpool,
387,Dominik Szoboszlai,Liverpool,
388,Curtis Jones,Liverpool,
389,Harvey Elliott,Liverpool,
390,Ryan Gravenberch,Liverpool,
391,Ben Doak,Liverpool,
392,Endo Wataru,Liverpool,
393,Stefan Bajčetić Maquieira,Liverpool,
394,James McConnell,Liverpool,
395,Tyler Morton,Liverpool,
396,Trey Nyoni,Liverpool,
397,Darwin Núñez Ribeiro,Liverpool,
398,Jayden Danns,Liverpool,
399,Ederson Santana de Moraes,Man City,
400,Stefan Ortega Moreno,Man City,
401,Marcus Bettinelli,Man City,
402,Rayan Aït-Nouri,Man City,
403,Joško Gvardiol,Man City,
404,Manuel Akanji,Man City,
405,Nathan Aké,Man City,
406,Abdukodir Khusanov,Man City,
407,Matheus Nunes,Man City,
408,Rúben dos Santos Gato Alves Dias,Man City,
409,John Stones,Man City,
410,Rico Lewis,Man City,
411,Nico O'Reilly,Man City,
412,Vitor de Oliveira Nunes dos Reis,Man City,
413,Omar Marmoush,Man City,
414,Phil Foden,Man City,
415,Sávio Moreira de Oliveira,Man City,
416,Bernardo Mota Veiga de Carvalho e Silva,Man City,
417,Rayan Cherki,Man City,
418,Jérémy Doku,Man City,
419,Jack Grealish,Man City,
420,İlkay Gündoğan,Man City,
421,Rodrigo 'Rodri' Hernandez Cascante,Man City,
422,Mateo Kovačić,Man City,
423,Nico González Iglesias,Man City,
424,Oscar Bobb,Man City,
425,Claudio Echeverri,Man City,
426,James McAtee,Man City,
427,Tijjani Reijnders,Man City,
428,Sverre Nypan,Man City,
429,Kalvin Phillips,Man City,
430,Erling Haaland,Man City,
431,Altay Bayındır,Man Utd,
432,André Onana,Man Utd,
433,Elyh Harrison,Man Utd,
434,Tom Heaton,Man Utd,
435,Dermot Mee,Man Utd,
436,Matthijs de Ligt,Man Utd,
437,Lisandro Martínez,Man Utd,
438,Noussair Mazraoui,Man Utd,
439,Diego León Blanco,Man Utd,
440,Diogo Dalot Teixeira,Man Utd,
441,Patrick Dorgu,Man Utd,
442,Harry Maguire,Man Utd,
443,Luke Shaw,Man Utd,
444,Leny Yoro,Man Utd,
445,Harry Amass,Man Utd,
446,Tyler Fredricson,Man Utd,
447,Ayden Heaven,Man Utd,
448,Tyrell Malacia,Man Utd,
449,Bruno Borges Fernandes,Man Utd,
450,Matheus Santos Carneiro da Cunha,Man Utd,
451,Marcus Rashford,Man Utd,
452,Amad Diallo,Man Utd,
453,Alejandro Garnacho Ferreyra,Man Utd,
454,Antony dos Santos,Man Utd,
455,Mason Mount,Man Utd,
456,Jadon Sancho,Man Utd,
457,Carlos Henrique Casimiro,Man Utd,
458,Kobbie Mainoo,Man Utd,
459,Manuel Ugarte Ribeiro,Man Utd,
460,Toby Collyer,Man Utd,
461,Jayce Fitzgerald,Man Utd,
462,Jack Fletcher,Man Utd,
463,Sékou Koné,Man Utd,
464,Jack Moorhouse,Man Utd,
465,Rasmus Højlund,Man Utd,
466,Joshua Zirkzee,Man Utd,
467,Chido Obi,Man Utd,
468,Ethan Wheatley,Man Utd,
469,Nick Pope,Newcastle,
470,Martin Dúbravka,Newcastle,
471,Mark Gillespie,Newcastle,
472,Odysseas Vlachodimos,Newcastle,
473,Lewis Hall,Newcastle,
474,Fabian Schär,Newcastle,
475,Sven Botman,Newcastle,
476,Dan Burn,Newcastle,
477,Tino Livramento,Newcastle,
478,Kieran Trippier,Newcastle,
479,Emil Krafth,Newcastle,
480,Jamaal Lascelles,Newcastle,
481,Alex Murphy,Newcastle,
482,Harrison Ashby,Newcastle,
483,Miodrag Pivaš,Newcastle,
484,Matt Targett,Newcastle,
485,Anthony Gordon,Newcastle,
486,Anthony Elanga,Newcastle,
487,Harvey Barnes,Newcastle,
488,Bruno Guimarães Rodriguez Moura,Newcastle,
489,Jacob Murphy,Newcastle,
490,Joelinton Cássio Apolinário de Lira,Newcastle,
491,Sandro Tonali,Newcastle,
492,Antoñito Cordero Campillo,Newcastle,
493,Sean Longstaff,Newcastle,
494,Joe Willock,Newcastle,
495,Isaac Hayden,Newcastle,
496,Garang Kuol,Newcastle,
497,Lewis Miley,Newcastle,
498,Joe White,Newcastle,
499,Alexander Isak,Newcastle,
500,William Osula,Newcastle,
501,Sean Neave,Newcastle,
502,Matz Sels,Nott'm Forest,
503,Carlos Miguel dos Santos Pereira,Nott'm Forest,
504,Matt Turner,Nott'm Forest,
505,Nikola Milenković,Nott'm Forest,
506,Murillo Costa dos Santos,Nott'm Forest,
507,Ola Aina,Nott'm Forest,
508,Neco Williams,Nott'm Forest,
509,David Mota Veiga Teixeira do Carmo,Nott'm Forest,
510,Jair Paula da Cunha Filho,Nott'm Forest,
511,Felipe Rodrigues da Silva,Nott'm Forest,
512,Omar Richards,Nott'm Forest,
513,Zach Abbott,Nott'm Forest,
514,Willy Boly,Nott'm Forest,
515,Morgan Gibbs-White,Nott'm Forest,
516,Callum Hudson-Odoi,Nott'm Forest,
517,Elliot Anderson,Nott'm Forest,
518,João Pedro Ferreira da Silva,Nott'm Forest,
519,Nicolás Domínguez,Nott'm Forest,
520,Lewis O'Brien,Nott'm Forest,
521,Ibrahim Sangaré,Nott'm Forest,
522,Ryan Yates,Nott'm Forest,
523,Eric da Silva Moreira,Nott'm Forest,
524,Marko Stamenić,Nott'm Forest,
525,Chris Wood,Nott'm Forest,
526,Igor Jesus Maciel da Cruz,Nott'm Forest,
527,Taiwo Awoniyi,Nott'm Forest,
528,Anthony Patterson,Sunderland,
529,Simon Moore,Sunderland,
530,Blondy Nna Noukeu,Sunderland,
531,Daniel Ballard,Sunderland,
532,Trai Hume,Sunderland,
533,Aji Alese,Sunderland,
534,Joe Anderson,Sunderland,
535,Dennis Cirkin,Sunderland,
536,Leo Fuhr Hjelde,Sunderland,
537,Niall Huggins,Sunderland,
538,Zak Johnson,Sunderland,
539,Luke O'Nien,Sunderland,
540,Timothée Pembélé,Sunderland,
541,Reinildo Mandava,Sunderland,
542,Jenson Seelt,Sunderland,
543,Simon Adingra,Sunderland,
544,Habib Diarra,Sunderland,
545,Patrick Roberts,Sunderland,
546,Milan Aleksić,Sunderland,
547,Enzo Le Fée,Sunderland,
548,Romaine Mundle,Sunderland,
549,Dan Neil,Sunderland,
550,Ian Poveda-Ocampo,Sunderland,
551,Chris Rigg,Sunderland,
552,Noah Sadiki,Sunderland,
553,Chemsdine Talbi,Sunderland,
554,Abdoullah Ba,Sunderland,
555,Alan Browne,Sunderland,
556,Pierre Ekwah Elimby,Sunderland,
557,Harrison Jones,Sunderland,
558,Jay Matete,Sunderland,
559,Nectarios Triantis,Sunderland,
560,Wilson Isidor,Sunderland,
561,Eliezer Mayenda Dossou,Sunderland,
562,Ahmed Abdullahi,Sunderland,
563,Luís Hemir Silva Semedo,Sunderland,
564,Nazarii Rusyn,Sunderland,
565,Guglielmo Vicario,Spurs,
566,Brandon Austin,Spurs,
567,Antonín Kinský,Spurs,
568,Pedro Porro Sauceda,Spurs,
569,Cristian Romero,Spurs,
570,Kevin Danso,Spurs,
571,Ben Davies,Spurs,
572,Radu Drăgușin,Spurs,
573,Djed Spence,Spurs,
574,Destiny Udogie,Spurs,
575,Micky van de Ven,Spurs,
576,Ashley Phillips,Spurs,
577,Takai Kōta,Spurs,
578,Luka Vušković,Spurs,
579,Son Heung-min,Spurs,
580,Brennan Johnson,Spurs,
581,James Maddison,Spurs,
582,Mohammed Kudus,Spurs,
583,Dejan Kulusevski,Spurs,
584,Mathys Tel,Spurs,
585,Rodrigo Bentancur,Spurs,
586,Lucas Bergvall,Spurs,
587,Yves Bissouma,Spurs,
588,Wilson Odobert,Spurs,
589,Manor Solomon,Spurs,
590,Bryan Gil Salvatierra,Spurs,
591,Archie Gray,Spurs,
592,Mikey Moore,Spurs,
593,Pape Matar Sarr,Spurs,
594,Yang Min-hyeok,Spurs,
595,Callum Olusesi,Spurs,
596,Dominic Solanke-Mitchell,Spurs,
597,Richarlison de Andrade,Spurs,
598,Will Lankshear,Spurs,
599,Dane Scarlett,Spurs,
600,Alphonse Areola,West Ham,
601,Wes Foderingham,West Ham,
602,Krisztián Hegyi,West Ham,
603,El Hadji Malick Diouf,West Ham,
604,Emerson Palmieri dos Santos,West Ham,
605,Maximilian Kilman,West Ham,
606,Konstantinos Mavropanos,West Ham,
607,Nayef Aguerd,West Ham,
608,Ollie Scarles,West Ham,
609,Jean-Clair Todibo,West Ham,
610,Aaron Wan-Bissaka,West Ham,
611,Kaelan Casey,West Ham,
612,Lucas Tolentino Coelho de Lima,West Ham,
613,Tomáš Souček,West Ham,
614,James Ward-Prowse,West Ham,
615,Crysencio Summerville,West Ham,
616,Edson Álvarez Velázquez,West Ham,
617,Maxwel Cornet,West Ham,
618,Guido Rodríguez,West Ham,
619,Luis Guilherme Lira dos Santos,West Ham,
620,George Earthy,West Ham,
621,Andy Irving,West Ham,
622,Lewis Orford,West Ham,
623,Freddie Potts,West Ham,
624,Jarrod Bowen,West Ham,
625,Niclas Füllkrug,West Ham,
626,Callum Marshall,West Ham,
627,Sam Johnstone,Wolves,
628,José Malheiro de Sá,Wolves,
629,Daniel Bentley,Wolves,
630,Tom King,Wolves,
631,Emmanuel Agbadou,Wolves,
632,Matt Doherty,Wolves,
633,Hugo Bueno López,Wolves,
634,Yerson Mosquera Valdelamar,Wolves,
635,Rodrigo Martins Gomes,Wolves,
636,Santiago Ignacio Bueno,Wolves,
637,Toti Gomes,Wolves,
638,Ki-Jana Hoever,Wolves,
639,Bastien Meupiyou Menadjou,Wolves,
640,Pedro Cardoso de Lima,Wolves,
641,Alfie Pond,Wolves,
642,Hwang Hee-chan,Wolves,
643,André Trindade da Costa Neto,Wolves,
644,Jean-Ricner Bellegarde,Wolves,
645,Fer López González,Wolves,
646,João Victor Gomes da Silva,Wolves,
647,Gonçalo Manuel Ganchinho Guedes,Wolves,
648,Marshall Munetsi,Wolves,
649,Boubacar Traoré,Wolves,
650,Tawanda Chirewa,Wolves,
651,Tom Edozie,Wolves,
652,Enso González Medina,Wolves,
653,Joe Hodge,Wolves,
654,Jørgen Strand Larsen,Wolves,
655,Fábio Soares Silva,Wolves,
656,Saša Kalajdžić,Wolves,
657,Leon Chiwome,Wolves,
658,Nathan Fraser,Wolves,
