id,name,team,position_1,position_2,position_3,position_4,position_5,position_6,height,weight,left_foot,right_foot,corners,crossing,dribbling,finishing,first_touch,free_kick_taking,heading,long_shots,long_throws,marking,passing,penalty_taking,tackling,technique,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off_the_ball,positioning,teamwork,vision,work_rate,acceleration,agility,balance,jumping_reach,natural_fitness,pace,stamina,strength,aerial_reach,command_of_area,communication,eccentricity,handling,kicking,one_on_ones,punching_tendency,reflexes,rushing_out_tendency,throwing
39,Joe Gauci,Aston Villa,gk,,,,,,1.94,87,11,20,,,,,9,7,,,,,9,2,,9,10,11,10,11,11,11,11,3,10,3,12,13,11,13,8,13,12,15,14,8,9,12,15,13,10,5,11,9,14,6,14,7,12
40,Kortney Hause,Aston Villa,dc,dl,,,,,1.88,84,20,7,5,6,10,6,11,5,15,5,12,13,13,6,14,12,14,13,13,13,13,13,9,7,10,13,13,13,9,13,13,14,12,14,13,14,15,15,,,,,,,,,,,
41,Samuel Iling-Junior,Aston Villa,aml,ml,wbl,,,,1.82,71,20,9,12,14,14,12,12,7,11,11,7,6,11,11,8,13,10,11,11,12,9,10,13,14,8,13,8,10,10,10,15,11,13,11,14,15,12,13,,,,,,,,,,,
42,Boubacar Kamara,Aston Villa,dm,mc,,,,,1.84,68,10,20,6,8,12,5,14,6,14,8,5,15,15,7,15,14,12,16,14,16,14,14,13,10,9,13,16,16,13,16,14,14,15,14,16,15,15,13,,,,,,,,,,,
43,Kaine Kesler-Hayden,Aston Villa,wbr,dr,wbl,dl,,,1.75,68,11,20,7,11,12,9,10,7,8,8,5,7,12,7,12,12,10,12,13,13,10,8,12,10,11,12,10,12,10,12,15,14,9,8,12,16,13,7,,,,,,,,,,,
44,Ezri Konsa Ngoyo,Aston Villa,dc,,,,,,1.83,77,9,20,4,7,13,5,14,3,15,3,7,14,14,4,16,14,13,15,14,16,14,14,13,10,10,10,15,15,14,16,14,14,13,14,15,14,15,14,,,,,,,,,,,
45,Ian Maatsen,Aston Villa,wbl,dl,ml,dm,mc,,1.67,65,20,10,11,13,13,11,12,12,8,11,6,11,13,11,11,14,9,11,11,12,11,11,13,12,7,10,11,12,11,14,15,13,13,6,13,15,15,7,,,,,,,,,,,
46,Filip Marschall,Aston Villa,gk,,,,,,1.95,87,10,20,,,,,10,8,,,,,11,3,,8,9,10,9,9,11,9,15,2,2,3,12,10,7,12,12,9,11,12,15,8,8,9,13,9,9,5,12,14,12,7,13,5,10
47,Emiliano Martínez Romero,Aston Villa,gk,,,,,,1.93,85,10,20,,,,,11,9,,,,,12,3,,11,7,15,15,13,14,14,15,8,13,11,13,14,7,13,10,16,13,15,13,10,12,12,16,14,12,12,16,14,17,7,18,15,11
48,John McGinn,Aston Villa,mc,amr,aml,amc,mr,ml,1.81,77,20,10,12,13,14,14,13,10,13,13,9,10,14,10,13,15,15,14,14,12,13,11,16,13,13,13,13,16,14,17,14,13,14,9,16,14,17,15,,,,,,,,,,,
49,Tyrone Mings,Aston Villa,dc,dl,,,,,1.96,78,20,6,9,10,13,6,12,5,16,9,12,14,15,2,15,13,15,13,16,14,13,13,16,12,18,13,14,15,12,14,15,14,13,15,16,14,14,15,,,,,,,,,,,
50,Kosta Nedeljković,Aston Villa,dr,wbr,,,,,1.84,72,10,20,10,12,10,5,8,6,11,9,8,12,10,8,12,10,12,12,14,9,11,11,12,9,8,12,12,12,9,13,13,14,12,10,15,15,12,12,,,,,,,,,,,
51,Robin Olsen,Aston Villa,gk,,,,,,1.98,89,8,20,,,,,11,1,,,,,10,4,,10,13,12,14,12,14,12,10,2,10,1,13,12,8,10,11,12,13,17,13,10,10,13,17,12,12,6,13,10,13,9,15,11,13
52,Pau Torres,Aston Villa,dc,,,,,,1.91,80,20,9,7,8,12,6,14,5,16,7,7,16,16,8,16,14,13,15,14,15,15,13,13,5,9,6,16,14,11,15,14,11,6,17,14,15,16,16,,,,,,,,,,,
53,Jacob Ramsey,Aston Villa,amc,mc,aml,,,,1.8,61,12,20,8,10,16,14,14,7,9,12,7,10,13,9,10,14,9,13,16,15,12,12,15,13,8,14,10,14,13,14,15,14,13,11,15,14,14,13,,,,,,,,,,,
54,Morgan Rogers,Aston Villa,aml,amc,amr,st,,,1.87,83,13,20,11,13,16,13,14,8,9,10,5,10,13,6,10,15,10,12,10,14,11,11,2,16,8,12,9,13,14,13,15,13,14,12,13,14,12,14,,,,,,,,,,,
55,Viljami Sinisalo,Aston Villa,gk,,,,,,1.9,76,5,20,,,,,12,8,,,,,11,4,,10,15,10,12,11,8,9,3,2,7,1,11,12,10,13,11,13,11,15,11,11,11,12,14,9,11,5,13,12,11,9,14,13,11
56,Lino da Cruz Sousa,Aston Villa,dl,wbl,ml,,,,1.75,70,20,11,10,9,11,7,12,10,9,8,7,9,11,6,12,12,8,11,11,12,10,11,12,12,7,12,9,14,10,13,13,13,12,9,14,13,12,9,,,,,,,,,,,
57,Youri Tielemans,Aston Villa,mc,dm,amc,,,,1.76,72,14,20,11,13,13,12,16,12,9,14,3,11,18,14,12,17,13,15,11,14,12,13,13,15,13,14,13,14,17,13,11,12,12,8,13,10,12,10,,,,,,,,,,,
58,Ollie Watkins,Aston Villa,st,amr,aml,,,,1.8,70,11,20,8,12,13,16,12,7,13,11,5,6,13,14,7,12,10,14,15,12,12,10,15,13,9,15,9,17,12,19,15,15,12,13,18,14,17,14,,,,,,,,,,,
167,Axel Disasi,Aston Villa,dc,,,,,,1.9,86,9,20,5,6,8,6,12,5,16,8,9,15,12,8,15,11,13,14,15,13,14,14,14,6,13,11,14,13,11,14,13,11,14,15,14,14,16,18,,,,,,,,,,,
233,Amadou Onana,Aston Villa,dm,mc,,,,,1.92,76,12,20,7,9,14,10,13,9,12,10,8,12,14,9,15,14,15,11,14,13,12,12,14,14,12,11,14,10,14,14,12,13,15,15,13,17,14,14,,,,,,,,,,,
385,Marcus Rashford,Aston Villa,aml,st,,,,,1.83,70,11,20,6,13,15,16,14,13,12,13,3,2,14,16,3,15,13,14,9,13,13,11,15,18,12,16,4,12,13,8,18,16,16,12,17,17,15,15,,,,,,,,,,,
598,Lamare Bogarde,Aston Villa,dm,mc,dc,dl,,,1.83,76,8,20,7,8,11,8,12,11,9,10,5,11,13,11,12,12,12,12,10,11,9,10,12,8,12,9,13,12,12,13,13,13,13,11,10,12,12,10,,,,,,,,,,,
640,Sil Swinkels,Aston Villa,dc,,,,,,1.9,78,14,20,4,5,3,5,9,3,12,3,1,14,6,2,14,7,14,11,10,8,11,11,15,5,11,7,13,8,5,9,12,11,9,15,14,10,7,7,,,,,,,,,,,
641,Oliwier Zych,Aston Villa,gk,,,,,,1.93,81,10,20,,,,,3,8,,,,,12,2,,1,7,13,15,9,9,9,14,1,3,1,12,9,8,8,10,17,9,14,12,12,4,13,13,11,14,5,13,11,12,7,11,5,6
656,Kadan Young,Aston Villa,amr,aml,mr,,,,1.83,79,6,20,8,9,12,10,11,6,4,10,7,8,9,1,8,12,12,9,9,4,9,10,5,9,13,2,9,6,13,13,16,15,14,11,6,15,10,13,,,,,,,,,,,
679,Ben Broggio,Aston Villa,amr,aml,amc,,,,1.79,69,11,20,7,11,9,8,7,6,2,12,5,4,6,1,5,9,7,6,4,5,4,6,10,12,9,10,4,7,10,12,15,12,9,10,12,11,13,6,,,,,,,,,,,
710,Jamaldeen Jimoh,Aston Villa,mc,,,,,,1.65,54,9,20,6,7,3,8,14,4,7,13,7,9,14,6,10,13,11,12,8,5,7,10,17,5,3,5,7,8,14,13,14,12,8,1,15,13,10,1,,,,,,,,,,,
725,Donyell Malen,Aston Villa,amr,st,aml,,,,1.76,68,10,20,12,11,15,13,14,11,12,12,6,6,12,13,6,15,11,14,9,13,12,13,13,14,6,13,6,12,12,11,16,16,13,8,12,16,13,12,,,,,,,,,,,
731,Andrés García,Aston Villa,amr,mr,aml,ml,,,1.83,75,17,20,8,12,13,9,13,9,8,10,6,6,12,8,7,12,9,11,10,11,11,11,13,13,6,13,7,12,11,11,14,12,11,9,13,15,13,12,,,,,,,,,,,
762,Marco Asensio,Aston Villa,amr,amc,aml,,,,1.82,76,20,10,15,15,16,15,17,15,8,18,7,5,16,14,8,17,9,15,12,14,12,14,15,17,10,13,10,14,16,14,15,15,14,10,16,14,14,12,,,,,,,,,,,
59,Max Aarons,Bournemouth,dr,wbr,,,,,1.69,63,10,20,4,9,14,5,13,6,9,7,6,12,12,5,14,14,8,13,11,16,13,13,17,11,6,12,12,15,12,16,15,15,15,7,15,15,15,9,,,,,,,,,,,
60,Tyler Adams,Bournemouth,mc,dm,wbr,dr,,,1.75,72,12,20,5,10,11,6,13,5,8,8,11,13,13,5,15,12,16,15,15,12,13,12,15,9,13,12,14,15,12,18,14,14,14,10,17,13,17,12,,,,,,,,,,,
61,Jaidon Anthony,Bournemouth,aml,ml,,,,,1.77,67,9,20,11,12,14,11,13,6,7,8,2,7,12,10,6,14,10,12,8,12,10,12,14,12,5,15,8,14,12,15,16,14,12,8,14,15,14,8,,,,,,,,,,,
62,David Brooks,Bournemouth,amr,mr,amc,,,,1.73,65,20,9,9,11,15,13,14,10,8,8,4,7,14,8,9,15,6,14,6,14,9,12,14,17,5,15,8,12,15,15,14,16,15,6,11,15,11,7,,,,,,,,,,,
63,Ryan Christie,Bournemouth,dm,mc,amc,mr,amr,,1.78,74,20,10,11,12,14,10,14,12,5,12,1,5,13,11,7,14,10,15,7,11,11,12,12,15,8,15,9,12,15,17,13,14,12,9,15,14,15,11,,,,,,,,,,,
64,Lewis Cook,Bournemouth,mc,dm,,,,,1.76,71,10,20,12,11,14,11,15,6,7,10,4,8,16,8,15,15,14,14,15,16,14,14,15,13,14,13,14,17,15,17,14,15,16,9,16,13,16,14,,,,,,,,,,,
65,Enes Ünal,Bournemouth,st,,,,,,1.85,75,15,20,6,9,13,15,14,15,13,13,6,6,10,14,6,15,11,12,13,14,11,13,15,14,9,14,7,12,11,13,13,15,13,13,12,12,14,14,,,,,,,,,,,
66,Romain Faivre,Bournemouth,amr,amc,mr,mc,,,1.8,75,20,12,13,12,15,12,15,14,8,11,5,6,15,14,6,15,8,11,8,13,12,12,11,13,7,11,8,12,13,11,14,14,12,10,13,14,14,10,,,,,,,,,,,
67,Hamed Traorè,Bournemouth,amc,aml,mc,,,,1.77,77,15,20,12,12,15,13,15,11,4,13,4,6,14,11,8,15,12,13,11,13,10,12,14,16,10,15,7,14,14,13,13,16,15,4,14,13,12,10,,,,,,,,,,,
68,James Hill,Bournemouth,dc,dr,,,,,1.84,80,9,20,7,9,10,7,12,7,13,9,16,12,12,7,12,13,11,12,12,12,11,11,13,8,13,11,12,13,11,13,13,12,13,14,14,13,14,13,,,,,,,,,,,
69,Daniel Jebbison,Bournemouth,st,,,,,,1.9,75,10,20,7,9,13,13,11,9,10,11,6,5,10,10,6,12,12,12,11,11,8,9,11,13,7,12,8,10,12,11,15,14,13,10,13,14,13,11,,,,,,,,,,,
70,Milos Kerkez,Bournemouth,dl,wbl,ml,,,,1.76,71,20,7,7,13,14,8,13,9,6,11,11,12,13,8,15,14,15,15,16,14,13,12,16,12,7,15,11,16,12,18,16,15,13,11,15,16,15,12,,,,,,,,,,,
71,Justin Kluivert,Bournemouth,aml,ml,amc,amr,,,1.72,66,14,20,9,10,16,11,16,8,7,12,2,3,14,10,6,16,16,9,13,11,10,10,15,15,7,12,6,11,11,12,17,17,11,7,12,16,11,8,,,,,,,,,,,
72,Chris Mepham,Bournemouth,dc,,,,,,1.91,75,10,20,4,5,11,7,12,5,13,4,4,13,12,4,15,13,12,15,14,13,14,13,16,6,12,6,15,14,11,14,12,9,14,15,14,12,13,15,,,,,,,,,,,
74,Dango Ouattara,Bournemouth,amr,st,aml,,,,1.77,68,20,8,8,12,14,12,12,12,8,10,5,10,13,7,10,14,8,11,8,11,10,12,13,12,7,12,8,14,13,14,15,14,12,9,15,15,13,9,,,,,,,,,,,
75,Alex Paulsen,Bournemouth,gk,,,,,,1.83,83,13,20,,,,,10,6,,,,,11,3,,10,10,13,12,14,12,10,14,11,8,3,11,10,11,12,10,14,11,13,12,9,11,10,12,12,13,15,12,14,12,11,15,8,12
76,Philip Billing,Bournemouth,mc,amc,dm,,,,1.96,88,20,10,6,10,12,13,13,11,8,13,17,10,14,12,11,15,13,12,13,12,11,14,13,10,8,14,11,12,12,16,12,14,13,15,16,13,15,14,,,,,,,,,,,
77,Alex Scott,Bournemouth,mc,amc,dm,amr,,,1.78,69,8,20,5,12,14,11,14,6,8,9,4,8,13,7,12,13,12,14,12,15,11,13,18,15,9,15,13,14,14,15,13,15,14,8,12,14,14,9,,,,,,,,,,,
78,Antoine Semenyo,Bournemouth,amr,st,aml,,,,1.78,63,8,20,8,12,16,14,13,8,10,12,5,6,12,8,8,13,15,11,12,15,9,10,12,17,8,15,8,10,14,13,17,16,14,10,17,17,12,15,,,,,,,,,,,
79,Marcos Senesi,Bournemouth,dc,,,,,,1.84,80,20,10,6,10,10,8,13,7,14,7,6,14,14,6,14,14,10,14,14,13,12,13,13,11,13,10,14,15,14,15,14,11,14,15,14,11,15,12,,,,,,,,,,,
80,Luis Sinisterra,Bournemouth,aml,amr,ml,mr,,,1.72,66,11,20,11,13,15,13,14,13,11,12,2,5,11,6,4,14,10,13,11,12,10,12,14,17,5,13,5,12,10,13,16,16,14,10,17,16,12,9,,,,,,,,,,,
81,Adam Smith,Bournemouth,dr,wbr,dl,wbl,,,1.8,79,8,20,6,12,12,7,13,6,7,9,3,12,13,4,13,13,10,13,13,13,11,12,14,9,11,13,13,13,9,16,14,13,11,7,16,14,16,9,,,,,,,,,,,
83,Marcus Tavernier,Bournemouth,aml,amc,ml,mc,amr,,1.78,73,20,12,13,11,15,10,13,11,6,11,6,10,12,10,8,13,10,10,11,10,9,10,12,14,10,13,10,13,10,15,15,13,13,10,10,14,15,10,,,,,,,,,,,
84,Mark Travers,Bournemouth,gk,,,,,,1.91,84,8,20,,,,,10,8,,,,,11,1,,11,8,15,12,11,13,12,12,6,8,3,15,12,13,13,12,14,11,14,14,12,16,12,15,12,14,7,15,15,13,7,16,8,15
85,Illia Zabarnyi,Bournemouth,dc,,,,,,1.86,81,8,20,4,4,10,6,12,5,14,6,6,14,13,7,16,12,10,16,13,17,16,15,14,6,9,9,15,17,11,14,14,13,16,16,15,15,16,15,,,,,,,,,,,
152,Kepa Arrizabalaga,Bournemouth,gk,,,,,,1.88,88,10,20,,,,,11,10,,,,,11,3,,11,8,14,10,14,15,13,13,2,10,5,12,13,11,12,9,15,12,14,12,12,12,12,13,13,13,5,15,15,15,13,16,12,13
580,Dean Huijsen,Bournemouth,dc,,,,,,1.95,90,10,20,8,8,8,9,13,7,15,9,8,14,13,15,15,13,10,14,13,13,13,12,15,7,8,10,13,13,13,15,13,13,13,16,11,13,14,14,,,,,,,,,,,
592,Julián Araujo Zúñiga,Bournemouth,dr,wbr,mr,,,,1.78,70,12,20,8,12,12,6,12,8,10,8,10,12,12,6,13,12,15,11,16,11,13,12,14,8,8,12,12,14,10,15,14,13,14,9,14,15,15,11,,,,,,,,,,,
599,Will Dennis,Bournemouth,gk,,,,,,1.88,85,20,7,,,,,12,1,,,,,12,3,,6,8,11,14,9,10,11,3,1,5,3,13,6,11,10,11,12,10,14,10,11,11,13,14,10,9,2,13,14,12,3,10,8,9
617,Francisco Evanilson de Lima Barbosa,Bournemouth,st,,,,,,1.83,80,13,20,6,8,12,16,14,8,12,10,7,8,14,13,9,14,11,13,12,16,12,13,13,14,10,15,5,11,14,13,14,13,17,13,11,14,14,16,,,,,,,,,,,
680,Max Kinsey,Bournemouth,dc,,,,,,1.84,75,9,20,3,2,1,1,6,1,13,5,1,13,6,1,7,5,5,11,8,6,4,13,12,5,11,5,12,5,2,6,9,13,6,9,12,10,7,8,,,,,,,,,,,
687,Ben Winterburn,Bournemouth,mc,dm,,,,,1.87,78,20,10,10,7,10,10,11,10,10,10,6,12,12,5,12,15,5,10,10,12,11,16,13,7,14,12,12,11,9,12,10,9,11,13,12,9,14,7,,,,,,,,,,,
702,Archie Harris,Bournemouth,dl,wbl,ml,,,,1.86,77,20,9,6,10,5,6,10,4,7,4,7,9,6,3,12,8,13,8,8,9,8,10,15,7,9,7,5,8,4,9,14,12,8,9,15,9,10,8,,,,,,,,,,,
