name,position,team,xP,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,modified,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,defensive_contribution,GW
Cristhian Mosquera,DEF,Arsenal,,0,0,27,1,0.0,11,0.00,0.00,0.00,0.20,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,90,FALSE,7,0,0,0,0,1,0,571606,1,0,3,0.0,6,0,0,0,55,True,0,6,1
Bukayo Saka,MID,Arsenal,,0,1,36,1,0.0,12,0.08,0.72,0.64,0.06,1,0,1,0.0,0.0,2026-08-21T19:00:00Z,67,FALSE,7,0,0,0,0,1,0,819914,1,0,3,0.0,9,0,0,0,95,True,0,7,1
Declan Rice,MID,Arsenal,,0,0,10,1,0.0,13,0.08,0.15,0.07,0.06,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,67,FALSE,7,0,0,0,0,1,0,1604406,1,0,3,0.0,3,0,0,0,75,True,0,6,1
Eberechi Eze,MID,Arsenal,,0,0,4,0,0.0,14,0.00,0.04,0.04,0.15,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,14,FALSE,7,0,0,0,0,1,0,188164,0,0,3,0.0,1,0,0,0,65,True,0,2,1
Martin Ødegaard,MID,Arsenal,,0,3,41,1,0.0,15,0.10,0.31,0.21,0.06,1,0,1,0.0,0.0,2026-08-21T19:00:00Z,75,FALSE,7,0,0,0,0,1,0,717252,1,0,3,0.0,11,0,0,0,65,True,0,8,1
Noni Madueke,MID,Arsenal,,0,0,8,0,0.0,16,0.04,0.04,0.00,0.15,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,22,FALSE,7,0,0,0,0,1,0,30442,0,0,3,0.0,1,0,0,0,65,True,0,2,1
Mikel Merino Zazón,MID,Arsenal,,0,0,5,0,0.0,17,0.02,0.16,0.14,0.15,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,14,FALSE,7,0,0,0,0,1,0,62671,0,0,3,0.0,1,0,0,0,60,True,0,2,1
Gabriel Martinelli Silva,MID,Arsenal,,0,0,0,0,0.0,18,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,21290,0,0,3,0.0,0,0,0,0,65,True,0,0,1
Martín Zubimendi Ibáñez,MID,Arsenal,,0,0,3,0,0.0,19,0.02,0.02,0.00,0.15,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,22,FALSE,7,0,0,0,0,1,0,107568,0,0,3,0.0,1,0,0,0,55,True,0,3,1
Max Dowman,MID,Arsenal,,0,0,0,0,0.0,20,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,8920,0,0,3,0.0,0,0,0,0,55,True,0,0,1
Ethan Nwaneri,MID,Arsenal,,0,0,0,0,0.0,22,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,1260,0,0,3,0.0,0,0,0,0,55,True,0,0,1
Fábio Ferreira Vieira,MID,Arsenal,,0,0,0,0,0.0,23,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,892,0,0,3,0.0,0,0,0,0,55,True,0,0,1
Reiss Nelson,MID,Arsenal,,0,0,0,0,0.0,24,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,853,0,0,3,0.0,0,0,0,0,55,True,0,0,1
Viktor Gyökeres,FWD,Arsenal,,0,0,0,0,0.0,25,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,816962,0,0,3,0.0,0,0,0,0,75,True,0,0,1
Kai Havertz,FWD,Arsenal,,0,0,34,1,0.0,26,0.03,0.29,0.26,0.20,1,0,1,0.0,0.0,2026-08-21T19:00:00Z,90,FALSE,7,0,0,0,0,1,0,468616,1,0,3,0.0,6,0,0,0,75,True,0,2,1
Gabriel Fernando de Jesus,FWD,Arsenal,,0,0,0,0,0.0,27,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,31403,0,0,3,0.0,0,0,0,0,60,True,0,0,1
Ezri Konsa Ngoyo,DEF,Arsenal,,0,0,0,0,0.0,31,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,1206127,0,0,3,0.0,0,0,0,0,45,True,0,0,1
Bruno Guimarães Rodriguez Moura,MID,Arsenal,,0,0,0,0,0.0,452,0.00,0.00,0.00,0.00,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,0,FALSE,7,0,0,0,0,1,0,391151,0,0,3,0.0,0,0,0,0,70,True,0,0,1
Christos Tzolis,MID,Arsenal,,1,0,30,1,0.0,557,0.14,0.33,0.19,0.06,1,0,0,0.0,0.0,2026-08-21T19:00:00Z,75,FALSE,7,0,0,0,0,1,0,2247384,1,0,3,0.0,6,0,0,0,65,True,0,6,1
Emiliano Martínez Romero,GK,Aston Villa,,0,0,0,0,0.0,28,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,388040,0,0,4,0.0,0,0,0,0,50,False,0,0,1
Marco Bizot,GK,Aston Villa,,0,0,1,0,0.0,29,0.00,0.00,0.00,3.77,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,5,0,0,0,0,1,3,10183,1,0,4,0.0,1,0,0,0,45,False,0,0,1
Lucas Digne,DEF,Aston Villa,,0,0,0,0,0.0,30,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,13780,0,0,4,0.0,0,0,0,0,45,False,0,0,1
Matty Cash,DEF,Aston Villa,,0,0,-8,0,0.0,32,0.00,0.00,0.00,3.77,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,5,0,0,0,0,1,0,789072,1,0,4,0.0,-1,0,0,0,45,False,1,7,1
Tyrone Mings,DEF,Aston Villa,,0,0,5,0,0.0,33,0.00,0.00,0.00,0.22,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,16,FALSE,5,0,0,0,0,1,0,29034,0,0,4,0.0,1,0,0,0,45,False,0,1,1
Pau Torres,DEF,Aston Villa,,0,0,-14,0,0.0,34,0.00,0.00,0.00,3.55,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,73,FALSE,5,0,0,0,0,1,0,38472,1,0,4,0.0,0,0,0,0,45,False,0,5,1
Lamare Bogarde,MID,Aston Villa,,0,0,3,0,0.0,35,0.00,0.00,0.00,0.22,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,16,FALSE,5,0,0,0,0,1,0,5822,0,0,4,0.0,1,0,0,0,50,False,0,1,1
Ian Maatsen,DEF,Aston Villa,,0,0,-9,0,0.0,36,0.00,0.03,0.03,3.62,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,81,FALSE,5,0,0,0,0,1,0,71952,1,0,4,0.0,0,0,0,0,45,False,0,9,1
Victor Lindelöf,DEF,Aston Villa,,0,0,-13,0,0.0,37,0.00,0.00,0.00,3.77,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,5,1,0,0,0,1,0,24630,1,0,4,0.0,-2,0,0,0,45,False,0,3,1
Andrés García,DEF,Aston Villa,,0,0,0,0,0.0,38,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,157304,0,0,4,0.0,0,0,0,0,40,False,0,0,1
Kosta Nedeljkovic,DEF,Aston Villa,,0,0,0,0,0.0,39,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,29043,0,0,4,0.0,0,0,0,0,40,False,0,0,1
Emiliano Buendía Stati,MID,Aston Villa,,0,0,4,0,0.0,41,0.09,0.22,0.13,3.62,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,85,FALSE,5,0,0,0,0,1,0,120830,1,0,4,0.0,2,0,0,0,60,False,0,7,1
Leon Bailey,MID,Aston Villa,,0,0,0,0,0.0,44,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,12940,0,0,4,0.0,0,0,0,0,55,False,0,0,1
John McGinn,MID,Aston Villa,,0,0,8,0,0.0,45,0.01,0.05,0.04,3.62,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,81,FALSE,5,0,0,0,0,1,0,290994,1,0,4,0.0,1,0,0,0,55,False,1,6,1
Ross Barkley,MID,Aston Villa,,0,0,11,0,0.0,46,0.02,0.12,0.10,3.55,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,73,FALSE,5,0,0,0,0,1,0,20508,1,0,4,0.0,2,0,0,0,50,False,0,1,1
Boubacar Kamara,MID,Aston Villa,,0,0,9,0,0.0,47,0.00,0.00,0.00,3.77,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,5,0,0,0,0,1,0,31172,1,0,4,0.0,2,0,0,0,50,False,0,7,1
Amadou Onana,MID,Aston Villa,,0,0,0,0,0.0,48,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,2081,0,0,4,0.0,0,0,0,0,50,False,0,0,1
Samuel Iling-Junior,MID,Aston Villa,,0,0,0,0,0.0,49,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,394,0,0,4,0.0,0,0,0,0,50,False,0,0,1
Bradley Burrowes,MID,Aston Villa,,0,0,0,0,0.0,50,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,60228,0,0,4,0.0,0,0,0,0,45,False,0,0,1
George Hemmings,MID,Aston Villa,,0,0,12,0,0.0,51,0.00,0.00,0.00,3.77,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,5,0,0,0,0,1,0,60759,1,0,4,0.0,2,0,0,0,45,False,0,5,1
Alysson Edward Franco da Rocha dos Santos,MID,Aston Villa,,0,0,5,0,0.0,52,0.00,0.00,0.00,0.14,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,8,FALSE,5,0,0,0,0,1,0,3792,0,0,4,0.0,1,0,0,0,50,False,0,3,1
Johan Manzambi,MID,Aston Villa,,0,0,0,0,0.0,53,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,26624,0,0,4,0.0,0,0,0,0,60,False,0,0,1
Joao Gomes,MID,Aston Villa,,0,0,-2,0,0.0,54,0.01,0.01,0.00,2.58,7,4,0,0.0,0.0,2026-08-23T13:00:00Z,39,FALSE,5,0,0,0,1,1,0,6573,1,0,4,0.0,-2,0,0,0,55,False,0,7,1
Ollie Watkins,FWD,Aston Villa,,0,0,0,0,0.0,55,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,898121,0,0,4,0.0,0,0,0,0,80,False,0,0,1
Tammy Abraham,FWD,Aston Villa,,0,0,0,0,0.0,56,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,11764,0,0,4,0.0,0,0,0,0,55,False,0,0,1
Alejandro Garnacho Ferreyra,MID,Aston Villa,,0,0,2,0,0.0,160,0.00,0.00,0.00,0.14,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,4,FALSE,5,0,0,0,0,1,0,54802,0,0,4,0.0,1,0,0,0,60,False,0,0,1
Brian Madjo,FWD,Aston Villa,,0,0,0,0,0.0,582,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,46241,0,0,4,0.0,0,0,0,0,55,False,0,0,1
Matteo Ruggeri,DEF,Aston Villa,,0,0,3,0,0.0,596,0.00,0.00,0.00,0.14,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,8,FALSE,5,0,0,0,0,1,0,7884,0,0,4,0.0,1,0,0,0,45,False,0,2,1
Zion Suzuki,GK,Aston Villa,,0,0,0,0,0.0,597,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,61739,0,0,4,0.0,0,0,0,0,50,False,0,0,1
Triston Rowe,DEF,Aston Villa,,0,0,0,0,0.0,606,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,0,0,0,4,0.0,0,0,0,0,40,False,0,0,1
Luka Lynch,MID,Aston Villa,,0,0,0,0,0.0,607,0.00,0.00,0.00,0.00,7,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,5,0,0,0,0,1,0,0,0,0,4,0.0,0,0,0,0,45,False,0,0,1
Đorđe Petrović,GK,Bournemouth,,0,0,13,0,0.0,57,0.00,0.00,0.00,2.25,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,4,288326,1,1,2,0.0,2,0,0,0,45,False,0,0,1
Fraser Forster,GK,Bournemouth,,0,0,0,0,0.0,58,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,283903,0,1,2,0.0,0,0,0,0,40,False,0,0,1
Will Dennis,GK,Bournemouth,,0,0,0,0,0.0,59,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,16822,0,1,2,0.0,0,0,0,0,40,False,0,0,1
James Hill,DEF,Bournemouth,,0,0,0,0,0.0,60,0.00,0.00,0.00,2.25,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,0,72436,1,1,2,0.0,1,0,0,0,55,False,0,6,1
Adrien Truffert,DEF,Bournemouth,,0,0,0,0,0.0,61,0.00,0.00,0.00,2.25,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,0,392050,1,1,2,0.0,1,0,0,0,55,False,0,7,1
Bafodé Diakité,DEF,Bournemouth,,0,0,0,0,0.0,62,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,15573,0,1,2,0.0,0,0,0,0,50,False,0,0,1
Veljko Milosavljevic,DEF,Bournemouth,,0,0,0,0,0.0,63,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,1122,0,1,2,0.0,0,0,0,0,50,False,0,0,1
Adam Smith,DEF,Bournemouth,,0,0,4,0,0.0,64,0.00,0.00,0.00,2.25,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,0,8561,1,1,2,0.0,1,0,0,0,45,False,0,5,1
Julián Araujo Zúñiga,DEF,Bournemouth,,0,0,0,0,0.0,65,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,1775,0,1,2,0.0,0,0,0,0,45,False,0,0,1
Julio Soler Barreto,DEF,Bournemouth,,0,0,0,0,0.0,66,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,19739,0,1,2,0.0,0,0,0,0,40,False,0,0,1
Rayan Vitor Simplício Rocha,MID,Bournemouth,,0,0,9,0,0.0,67,0.03,0.07,0.04,2.06,8,1,0,0.0,0.0,2026-08-23T13:00:00Z,88,FALSE,15,0,0,0,0,1,0,242374,1,1,2,0.0,2,0,0,0,65,False,0,1,1
Marcus Tavernier,MID,Bournemouth,,0,3,32,0,0.0,68,0.08,0.48,0.40,2.25,8,2,1,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,0,139421,1,1,2,0.0,10,0,0,0,60,False,0,8,1
Alex Scott,MID,Bournemouth,,0,0,17,0,0.0,69,0.01,0.01,0.00,2.25,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,0,134668,1,1,2,0.0,2,0,0,0,60,False,0,11,1
Justin Kluivert,MID,Bournemouth,,0,0,15,1,0.0,70,0.00,0.11,0.11,1.94,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,74,FALSE,15,0,0,0,0,1,0,96045,1,1,2,0.0,3,0,0,0,60,False,0,9,1
Lewis Cook,MID,Bournemouth,,0,0,8,1,0.0,71,0.00,0.00,0.00,1.94,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,75,FALSE,15,0,0,0,0,1,0,13065,1,1,2,0.0,3,0,0,0,50,False,0,7,1
Ben Gannon-Doak,MID,Bournemouth,,0,0,3,0,0.0,72,0.00,0.00,0.00,0.19,8,1,0,0.0,0.0,2026-08-23T13:00:00Z,1,FALSE,15,0,0,0,0,1,0,7889,0,1,2,0.0,1,0,0,0,50,False,0,1,1
Tyler Adams,MID,Bournemouth,,0,0,4,0,0.0,73,0.00,0.00,0.00,0.31,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,15,FALSE,15,0,0,0,0,1,0,19512,0,1,2,0.0,1,0,0,0,50,False,0,3,1
David Brooks,MID,Bournemouth,,0,0,0,0,0.0,74,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,4610,0,1,2,0.0,0,0,0,0,50,False,0,0,1
Ryan Christie,MID,Bournemouth,,0,0,0,0,0.0,75,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,1007,0,1,2,0.0,0,0,0,0,50,False,0,0,1
Alex Tóth,MID,Bournemouth,,0,0,5,0,0.0,76,0.00,0.00,0.00,0.31,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,15,FALSE,15,0,0,0,0,1,0,1238,0,1,2,0.0,1,0,0,0,50,False,0,2,1
Amine Adli,MID,Bournemouth,,0,0,0,0,0.0,77,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,3087,0,1,2,0.0,0,0,0,0,50,False,0,0,1
Junior Kroupi,MID,Bournemouth,,0,0,0,0,0.0,78,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,42378,0,1,2,0.0,0,0,0,0,75,False,0,0,1
Francisco Evanilson de Lima Barbosa,FWD,Bournemouth,,1,0,17,1,0.0,79,0.21,0.21,0.00,1.94,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,74,FALSE,15,0,0,0,0,1,0,200122,1,1,2,0.0,4,0,0,0,60,False,1,8,1
Enes Ünal,FWD,Bournemouth,,0,0,0,0,0.0,80,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,3581,0,1,2,0.0,0,0,0,0,55,False,0,0,1
Álvaro Rodríguez,FWD,Bournemouth,,0,0,0,0,0.0,81,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,9051,0,1,2,0.0,0,0,0,0,60,False,0,0,1
António João Pereira de Albuquerque Tavares da Silva,DEF,Bournemouth,,0,0,5,0,0.0,566,0.00,0.00,0.00,2.25,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,90,FALSE,15,0,0,0,0,1,0,23702,1,1,2,0.0,2,0,0,0,50,False,1,13,1
Juanlu Sánchez,DEF,Bournemouth,,0,0,0,0,0.0,573,0.00,0.00,0.00,0.00,8,0,0,0.0,0.0,2026-08-23T13:00:00Z,0,FALSE,15,0,0,0,0,1,0,18342,0,1,2,0.0,0,0,0,0,45,False,0,0,1
Daniel Jebbison,FWD,Bournemouth,,0,0,6,0,0.0,608,0.00,0.10,0.10,0.31,8,2,0,0.0,0.0,2026-08-23T13:00:00Z,15,FALSE,15,0,0,0,0,1,0,0,0,1,2,0.0,1,0,0,0,50,False,0,1,1
Caoimhín Kelleher,GK,Brentford,,0,0,34,1,0.0,82,0.01,0.01,0.00,0.57,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,90,FALSE,19,0,0,0,0,1,4,513912,1,0,3,0.0,7,0,0,0,50,True,0,0,1
Hákon Rafn Valdimarsson,GK,Brentford,,0,0,0,0,0.0,83,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,FALSE,19,0,0,0,0,1,0,9667,0,0,3,0.0,0,0,0,0,45,True,0,0,1
Nathan Collins,DEF,Brentford,,0,0,21,1,0.0,84,0.04,0.38,0.34,0.57,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,90,FALSE,19,0,0,0,0,1,0,156847,1,0,3,0.0,6,0,0,0,55,True,0,3,1
Sepp van den Berg,DEF,Brentford,,0,0,0,0,0.0,85,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,FALSE,19,0,0,0,0,1,0,14391,0,0,3,0.0,0,0,0,0,50,True,0,0,1
Keane Lewis-Potter,MID,Brentford,,0,2,37,1,0.0,86,0.12,0.89,0.77,0.57,2,0,1,0.0,0.0,2026-08-22T16:30:00Z,90,FALSE,19,0,0,0,0,1,0,38558,1,0,3,0.0,10,0,0,0,55,True,0,10,1
Kristoffer Ajer,DEF,Brentford,,0,0,29,1,0.0,87,0.02,0.13,0.11,0.57,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,90,FALSE,19,0,0,0,0,1,0,318142,1,0,3,0.0,8,0,0,0,45,True,0,10,1
Michael Kayode,DEF,Brentford,,0,1,36,1,0.0,88,0.00,0.50,0.50,0.47,2,0,1,0.0,0.0,2026-08-22T16:30:00Z,75,FALSE,19,0,0,0,0,1,0,282611,1,0,3,0.0,13,0,0,0,45,True,0,4,1
Rico Henry,DEF,Brentford,,0,0,0,0,0.0,89,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,FALSE,19,0,0,0,0,1,0,22322,0,0,3,0.0,0,0,0,0,45,True,0,0,1
Aaron Hickey,DEF,Brentford,,0,0,2,0,0.0,90,0.00,0.00,0.00,0.10,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,14,FALSE,19,0,0,0,0,1,0,5416,0,0,3,0.0,1,0,0,0,45,True,0,0,1
Ethan Pinnock,DEF,Brentford,,0,0,0,0,0.0,91,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,FALSE,19,0,0,0,0,1,0,7000,0,0,3,0.0,0,0,0,0,45,True,0,0,1
Kim Ji-soo,DEF,Brentford,,0,0,0,0,0.0,92,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,FALSE,19,0,0,0,0,1,0,1635,0,0,3,0.0,0,0,0,0,45,True,0,0,1
Jannik Schuster,DEF,Brentford,,0,0,0,0,0.0,93,0.00,0.00,0.00,0.00,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,0,FALSE,19,0,0,0,0,1,0,15125,0,0,3,0.0,0,0,0,0,45,True,0,0,1
Kevin Schade,MID,Brentford,,0,0,17,1,0.0,94,0.01,0.53,0.52,0.57,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,90,FALSE,19,0,0,0,0,1,0,330810,1,0,3,0.0,3,0,0,0,60,True,0,9,1
Dango Ouattara,MID,Brentford,,0,0,6,1,0.0,95,0.29,0.34,0.05,0.47,2,0,0,0.0,0.0,2026-08-22T16:30:00Z,66,FALSE,19,0,0,0,0,1,0,105835,1,0,3,0.0,3,0,0,0,65,True,0,6,1
