age,assists,assists_per90,cards_red,cards_yellow,cards_yellow_red,crosses,fbref_id,fouled,fouls,games,games_complete,games_starts,games_subs,goals,goals_assists,goals_assists_pens_per90,goals_assists_per90,goals_pens,goals_pens_per90,goals_per90,goals_per_shot,goals_per_shot_on_target,interceptions,minutes,minutes_90s,minutes_pct,minutes_per_game,minutes_per_start,minutes_per_sub,name,nationality,offsides,on_goals_against,on_goals_for,own_goals,pens_att,pens_conceded,pens_made,pens_won,plus_minus,plus_minus_per90,plus_minus_wowy,points_per_game,position,shots,shots_on_target,shots_on_target_pct,shots_on_target_per90,shots_per90,tackles_won,team,unused_subs,gk_clean_sheets,gk_clean_sheets_pct,gk_games,gk_games_starts,gk_goals_against,gk_goals_against_per90,gk_losses,gk_minutes,gk_pens_allowed,gk_pens_att,gk_pens_missed,gk_pens_save_pct,gk_pens_saved,gk_save_pct,gk_saves,gk_shots_on_target_against,gk_ties,gk_wins
"24-214","0","0.00","0","1","0","6","9f333379","3","1","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","120","1.3","66.7","60","60","0.00","Christos Tzolis","gr GRE","1","0","3","0","0","0.00","0","0.00","+3","+2.25","+0.75","3.00","MF","4","2","50.0","1.50","3.00","1","Arsenal","0","","","","","","","","","","","","","","","","","",""
"28-064","0","0.00","0","0","0","0","ae4fc6a4","3","0","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","60","0.7","33.3","30","0.00","30","Eberechi Eze","eng ENG","0","0","1","0","0","0.00","0","0.00","+1","+1.50","-0.75","3.00","FW,MF","1","0","0.0","0.00","1.50","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"30-071","0","0.00","0","0","0","0","d080ed5e","2","3","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","35","0.4","19.4","18","0.00","18","Mikel Merino","es ESP","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.48","3.00","MF","2","1","50.0","2.57","5.14","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"27-211","0","0.00","0","0","0","0","3ee0dd59","0","0","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","29","0.3","16.1","15","0.00","15","Martín Zubimendi","es ESP","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.38","3.00","MF","0","0","0.00","0.00","0.00","1","Arsenal","0","","","","","","","","","","","","","","","","","",""
"24-175","0","0.00","0","0","0","1","bf34eebd","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","23","0.3","12.8","23","0.00","23","Noni Madueke","eng ENG","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.29","3.00","FW,MF","0","0","0.00","0.00","0.00","0","Arsenal","1","","","","","","","","","","","","","","","","","",""
"28-289","0","0.00","0","0","0","0","82518f62","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","20","0.2","11.1","20","0.00","20","Bruno Guimarães","br BRA","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.25","3.00","MF","0","0","0.00","0.00","0.00","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"28-313","0","0.00","0","0","0","0","0313a347","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","12","0.1","6.7","12","0.00","12","Ezri Konsa","eng ENG","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.14","3.00","DF,FW","0","0","0.00","0.00","0.00","0","Arsenal","0","","","","","","","","","","","","","","","","","",""
"24-235","0","0.00","0","0","0","1","0c7a48f8","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","9","0.1","5.0","9","0.00","9","Piero Hincapié","ec ECU","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.11","3.00","DF","0","0","0.00","0.00","0.00","0","Arsenal","1","","","","","","","","","","","","","","","","","",""
"31-333","0.00","0.00","0.00","0.00","","","28d596a0","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Kepa Arrizabalaga","es ESP","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","GK","","","","","","","Arsenal","2","","","","","","","","","","","","","","","","","",""
"16-244","0.00","0.00","0.00","0.00","","","9008bb70","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Max Dowman","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","MF","","","","","","","Arsenal","1","","","","","","","","","","","","","","","","","",""
"28-089","0.00","0.00","0.00","0.00","","","4d5a9185","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Viktor Gyökeres","se SWE","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","FW,MF","","","","","","","Arsenal","2","","","","","","","","","","","","","","","","","",""
"19-164","0.00","0.00","0.00","0.00","","","7f94982c","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Ethan Nwaneri","eng ENG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","MF","","","","","","","Arsenal","1","","","","","","","","","","","","","","","","","",""
"29-110","0","0.00","0","0","0","0","31c69ef1","1","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","180","2.0","100.0","90","90","0.00","Rúben Dias","pt POR","0","2","6","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","DF","1","1","100.0","0.50","0.50","1","Man City","0","","","","","","","","","","","","","","","","","",""
"27-188","0","0.00","0","0","0","0","08f5afaa","0","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Gianluigi Donnarumma","it ITA","0","2","6","1","0","0.00","0","0.00","+4","+2.00","0.00","3.00","GK","0","0","0.00","0.00","0.00","0","Man City","0","0","0.0","2","2","2","1.00","0","180","0","0","0","0.00","0","66.7","4","6","0","2"
"26-050","0","0.00","0","0","0","0","d0706b27","3","2","2","2","2","0","1","1","0.50","0.50","1","0.50","0.50","0.50","1.00","3","180","2.0","100.0","90","90","0.00","Marc Guéhi","eng ENG","0","2","6","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","MF,DF","2","1","50.0","0.50","1.00","4","Man City","0","","","","","","","","","","","","","","","","","",""
"26-042","0","0.00","0","0","0","0","1f44ac21","1","0","2","2","2","0","2","2","1.00","1.00","2","1.00","1.00","0.20","0.40","0","180","2.0","100.0","90","90","0.00","Erling Haaland","no NOR","0","2","6","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","FW","10","5","50.0","2.50","5.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"26-237","1","0.50","0","0","0","5","efd2ec23","4","3","2","2","2","0","0","1","0.50","0.50","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Antoine Semenyo","gh GHA","2","2","6","0","0","0.00","0","0.00","+4","+2.00","0.00","3.00","MF","3","2","66.7","1.00","1.50","1","Man City","0","","","","","","","","","","","","","","","","","",""
"22-184","0","0.00","0","0","0","2","d17ce930","0","0","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","178","2.0","98.9","89","89","0.00","Abdukodir Khusanov","uz UZB","0","2","6","0","0","0.00","0","0.00","+4","+2.02","+2.02","3.00","DF","0","0","0.00","0.00","0.00","5","Man City","0","","","","","","","","","","","","","","","","","",""
"26-096","2","1.05","0","1","0","12","ed1e53f3","4","3","2","1","2","0","0","2","1.05","1.05","0","0.00","0.00","0.00","0.00","0","171","1.9","95.0","86","86","0.00","Phil Foden","eng ENG","0","2","4","0","0","0.00","0","0.00","+2","+1.05","-18.95","3.00","MF","5","0","0.0","0.00","2.63","2","Man City","0","","","","","","","","","","","","","","","","","",""
"24-221","1","0.55","0","0","0","2","5ad50391","0","1","2","1","2","0","1","2","1.10","1.10","1","0.55","0.55","1.00","1.00","2","164","1.8","91.1","82","82","0.00","Joško Gvardiol","hr CRO","0","2","5","0","0","0.00","0","0.00","+3","+1.65","-3.98","3.00","DF","1","1","100.0","0.55","0.55","1","Man City","0","","","","","","","","","","","","","","","","","",""
"21-164","0","0.00","0","0","0","4","91ca4a16","0","2","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","150","1.7","83.3","75","75","0.00","Nico O'Reilly","eng ENG","0","2","4","0","0","0.00","0","0.00","+2","+1.20","-4.80","3.00","MF","2","0","0.0","0.00","1.20","1","Man City","0","","","","","","","","","","","","","","","","","",""
"23-299","0","0.00","0","1","0","4","de31038e","3","4","2","0","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","5","143","1.6","79.4","72","72","0.00","Elliot Anderson","eng ENG","0","2","3","0","0","0.00","0","0.00","+1","+0.63","-6.67","3.00","MF","2","1","50.0","0.63","1.26","4","Man City","0","","","","","","","","","","","","","","","","","",""
"23-015","2","1.65","0","1","0","6","b34c63a5","0","4","2","0","1","1","2","4","3.30","3.30","2","1.65","1.65","0.67","0.67","0","109","1.2","60.6","55","81","28","Rayan Cherki","fr FRA","0","1","5","0","0","0.00","0","0.00","+4","+3.30","+3.30","3.00","MF","3","3","100.0","2.48","2.48","0","Man City","0","","","","","","","","","","","","","","","","","",""
"21-284","0","0.00","0","0","0","2","b57e066e","2","1","1","0","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","56","0.6","31.1","56","56","0.00","Rico Lewis","eng ENG","0","1","0","0","0","0.00","0","0.00","-1","-1.61","-5.24","3.00","DF","1","1","100.0","1.61","1.61","0","Man City","1","","","","","","","","","","","","","","","","","",""
"32-118","0","0.00","0","0","0","0","79c0821a","0","0","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","44","0.5","24.4","22","0.00","22","Mateo Kovačić","hr CRO","0","0","3","0","0","0.00","0","0.00","+3","+6.14","+5.47","3.00","MF","0","0","0.00","0.00","0.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"28-005","0","0.00","0","0","0","2","e6af02e0","1","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","34","0.4","18.9","34","0.00","34","Matheus Nunes","pt POR","0","0","2","0","0","0.00","0","0.00","+2","+5.29","+4.06","3.00","DF,MF","0","0","0.00","0.00","0.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"18-334","0","0.00","0","0","0","0","8006228f","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","9","0.1","5.0","9","0.00","9","Ayyoub Bouaddi","ma MAR","0","0","1","0","0","0.00","0","0.00","+1","+10.00","+8.42","3.00","MF","0","0","0.00","0.00","0.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"30-356","0","0.00","0","0","0","0","b0b4fd3e","0","1","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","9","0.1","5.0","9","0.00","9","Jack Grealish","eng ENG","0","0","2","0","0","0.00","0","0.00","+2","+20.00","+18.95","3.00","FW,MF","0","0","0.00","0.00","0.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"18-069","0","0.00","0","0","0","0","8dd0d7c5","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","9","0.1","5.0","9","0.00","9","Ryan Mcaidoo","eng ENG","0","0","1","0","0","0.00","0","0.00","+1","+10.00","+8.42","3.00","FW","1","0","0.0","0.00","10.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"18-205","0","0.00","0","0","0","0","dd1bd054","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","2","0.0","1.1","2","0.00","2","Kaden Braithwaite","eng ENG","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.02","3.00","DF","0","0","0.00","0.00","0.00","0","Man City","0","","","","","","","","","","","","","","","","","",""
"20-232","0","0.00","0","0","0","0","c4ce0ab5","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","2","0.0","1.1","2","0.00","2","Vitor Reis","br BRA","0","0","0","0","0","0.00","0","0.00","0","0.00","-2.02","3.00","DF","0","0","0.00","0.00","0.00","0","Man City","1","","","","","","","","","","","","","","","","","",""
"25-087","0.00","0.00","0.00","0.00","","","9b398aea","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Rayan Aït-Nouri","dz ALG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","DF,MF","","","","","","","Man City","2","","","","","","","","","","","","","","","","","",""
"20-242","0.00","0.00","0.00","0.00","","","49a605df","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Claudio Echeverri","ar ARG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","MF","","","","","","","Man City","1","","","","","","","","","","","","","","","","","",""
"24-241","0.00","0.00","0.00","0.00","","","2c56a792","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Nicolás González","es ESP","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","MF","","","","","","","Man City","1","","","","","","","","","","","","","","","","","",""
"27-206","0.00","0.00","0.00","0.00","","","0e0102eb","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Omar Marmoush","eg EGY","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","FW,MF","","","","","","","Man City","1","","","","","","","","","","","","","","","","","",""
"34-104","0.00","0.00","0.00","0.00","","","625c144a","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Gerónimo Rulli","ar ARG","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","GK","","","","","","","Man City","2","","","","","","","","","","","","","","","","","",""
"31-358","1","0.50","0","0","0","14","507c7bdf","0","1","2","2","2","0","3","4","1.50","2.00","2","1.00","1.50","0.27","0.75","1","180","2.0","100.0","90","90","0.00","Bruno Fernandes","pt POR","0","4","5","0","1","0.00","1","0.00","+1","+0.50","0.00","1.50","MF","11","4","36.4","2.00","5.50","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"24-056","0","0.00","0","0","0","0","8e6d2fcd","0","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Senne Lammens","be BEL","0","4","5","0","0","0.00","0","0.00","+1","+0.50","0.00","1.50","GK","0","0","0.00","0.00","0.00","0","Man Utd","0","0","0.0","2","2","4","2.00","1","180","0","0","0","0.00","0","55.6","5","9","0","1"
"33-180","0","0.00","0","0","0","2","d8931174","1","2","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","180","2.0","100.0","90","90","0.00","Harry Maguire","eng ENG","0","4","5","0","0","0.00","0","0.00","+1","+0.50","0.00","1.50","DF","3","1","33.3","0.50","1.50","0","Man Utd","0","","","","","","","","","","","","","","","","","",""
"27-025","0","0.00","0","1","0","15","6afaebf2","1","1","2","2","2","0","1","1","0.50","0.50","1","0.50","0.50","0.11","0.33","0","180","2.0","100.0","90","90","0.00","Bryan Mbeumo","cm CMR","1","4","5","0","0","0.00","0","0.00","+1","+0.50","0.00","1.50","MF","9","3","33.3","1.50","4.50","2","Man Utd","0","","","","","","","","","","","","","","","","","",""
"31-051","0","0.00","0","0","0","7","9c94165b","1","0","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","3","162","1.8","90.0","81","81","0.00","Luke Shaw","eng ENG","0","3","4","0","0","0.00","0","0.00","+1","+0.56","+0.56","1.50","DF","0","0","0.00","0.00","0.00","3","Man Utd","0","","","","","","","","","","","","","","","","","",""
"27-097","1","0.57","0","0","0","4","dc62b55d","3","1","2","0","2","0","0","1","0.57","0.57","0","0.00","0.00","0.00","0.00","0","158","1.8","87.8","79","79","0.00","Matheus Cunha","br BRA","0","3","4","0","0","0.00","0","0.00","+1","+0.57","+0.57","1.50","FW","5","2","40.0","1.14","2.85","0","Man Utd","0","","","","","","","","","","","","","","","","","",""
"29-117","0","0.00","0","0","0","1","56f7a928","6","1","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","156","1.7","86.7","78","78","0.00","Youri Tielemans","be BEL","0","4","5","0","0","0.00","0","0.00","+1","+0.58","+0.58","1.50","MF","4","2","50.0","1.15","2.31","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"28-305","0","0.00","0","0","0","6","a1d5bd30","3","0","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","124","1.4","68.9","62","79","45","Marcus Rashford","eng ENG","1","1","4","0","0","0.00","0","0.00","+3","+2.18","+5.39","1.50","MF","4","2","50.0","1.45","2.90","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"21-135","0","0.00","0","0","0","1","c6220452","2","0","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","103","1.1","57.2","52","79","24","Kobbie Mainoo","eng ENG","0","1","4","0","0","0.00","0","0.00","+3","+2.62","+4.96","1.50","MF","4","0","0.0","0.00","3.50","2","Man Utd","0","","","","","","","","","","","","","","","","","",""
"28-291","0","0.00","0","0","0","5","b74277a0","0","1","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","97","1.1","53.9","49","79","18","Noussair Mazraoui","ma MAR","0","3","1","0","0","0.00","0","0.00","-2","-1.86","-5.11","1.50","DF","1","0","0.0","0.00","0.93","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"19-344","0","0.00","0","0","0","0","64e17fab","2","1","1","1","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","90","1.0","50.0","90","90","0.00","Ayden Heaven","eng ENG","0","2","0","0","0","0.00","0","0.00","-2","-2.00","-5.00","0.00","DF","2","0","0.0","0.00","2.00","0","Man Utd","1","","","","","","","","","","","","","","","","","",""
"28-226","0","0.00","0","0","0","0","bac46a10","0","0","1","1","1","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","90","1.0","50.0","90","90","0.00","Lisandro Martínez","ar ARG","0","2","5","0","0","0.00","0","0.00","+3","+3.00","+5.00","3.00","DF","1","0","0.0","0.00","1.00","0","Man Utd","1","","","","","","","","","","","","","","","","","",""
"27-167","0","0.00","0","0","0","5","d9565625","0","0","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","84","0.9","46.7","42","73","11","Diogo Dalot","pt POR","0","1","4","0","0","0.00","0","0.00","+3","+3.21","+5.09","1.50","DF","4","1","25.0","1.07","4.29","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"22-121","0","0.00","0","0","0","0","dd745366","2","2","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","77","0.9","42.8","39","66","11","Andrey Santos","br BRA","0","3","1","0","0","0.00","0","0.00","-2","-2.34","-4.96","1.50","MF","0","0","0.00","0.00","0.00","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"21-310","0","0.00","0","1","0","0","e6536124","0","4","2","0","1","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","56","0.6","31.1","28","45","11","Patrick Dorgu","dk DEN","1","3","1","0","0","0.00","0","0.00","-2","-3.21","-5.39","1.50","MF","5","1","20.0","1.61","8.04","1","Man Utd","0","","","","","","","","","","","","","","","","","",""
"23-093","0","0.00","0","0","0","1","3260690c","0","1","2","0","0","2","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","35","0.4","19.4","18","0.00","18","Benjamin Šeško","si SVN","0","1","1","0","0","0.00","0","0.00","0","0.00","-0.62","1.50","FW","1","0","0.0","0.00","2.57","0","Man Utd","0","","","","","","","","","","","","","","","","","",""
"20-292","0","0.00","0","0","0","0","6763f716","0","1","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","2","17","0.2","9.4","17","0.00","17","Leny Yoro","fr FRA","0","1","1","0","0","0.00","0","0.00","0","0.00","-0.55","3.00","DF","0","0","0.00","0.00","0.00","0","Man Utd","1","","","","","","","","","","","","","","","","","",""
"19-140","0","0.00","0","0","0","1","3160e952","0","0","1","0","0","1","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","11","0.1","6.1","11","0.00","11","Shea Lacey","eng ENG","0","0","0","0","0","0.00","0","0.00","0","0.00","-0.53","0.00","FW","0","0","0.00","0.00","0.00","0","Man Utd","1","","","","","","","","","","","","","","","","","",""
"35-328","0.00","0.00","0.00","0.00","","","cde3309f","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Karl Darlow","wls WAL","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","GK","","","","","","","Man Utd","2","","","","","","","","","","","","","","","","","",""
"25-102","0.00","0.00","0.00","0.00","","","028e70b9","","","0","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","","","","0.00","0.00","0.00","0.00","0.00","0.00","Joshua Zirkzee","nl NED","","0.00","0.00","","0.00","","0.00","","0.00","0.00","0.00","0.00","FW","","","","","","","Man Utd","2","","","","","","","","","","","","","","","","","",""
"19-181","0","0.00","0","0","0","1","28795530","0","2","2","1","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","160","1.8","88.9","80","80","0.00","George Hemmings","eng ENG","0","5","0","0","0","0.00","0","0.00","-5","-2.81","-2.81","0.00","MF","0","0","0.00","0.00","0.00","2","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"26-282","0","0.00","0","0","0","1","cc77354e","1","5","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","1","180","2.0","100.0","90","90","0.00","Boubacar Kamara","fr FRA","0","5","0","0","0","0.00","0","0.00","-5","-2.50","0.00","0.00","MF","0","0","0.00","0.00","0.00","2","Aston Villa","0","","","","","","","","","","","","","","","","","",""
"32-046","0","0.00","0","0","0","0","f5deef4c","0","0","2","2","2","0","0","0","0.00","0.00","0","0.00","0.00","0.00","0.00","0","180","2.0","100.0","90","90","0.00","Victor Lindelöf","se SWE","0","5","0","1","0","0.00","0","0.00","-5","-2.50","0.00","0.00","DF","0","0","0.00","0.00","0.00","0","Aston Villa","0","","","","","","","","","","","","","","","","","",""
